   -0.476267290115356445E+01   -0.394566440582275391E+01    0.350048819184303284E+04   -0.298248469829559326E+01    0.669952452182769775E+00   -0.123184037208557129E+01    0.408808058500289895E+00    0.520100474357605008E-01   -0.758911371231079102E+01    0.344526767730712891E+01    0.695274338052505835-309   -0.599146350544150419E+01    1
   -0.149084997177124023E+01   -0.154301309585571289E+01    0.258430057764053345E+04   -0.440136229991912842E+01   -0.115324765443801880E+01    0.195544075965881348E+01    0.493852216005325251E+00    0.102200239896774292E+00    0.161164671182632446E+02   -0.111952453851699829E+02    0.695274338052505835-309   -0.599396350544151169E+01    1
   -0.516766166687011719E+01   -0.754711818695068359E+01    0.195431911945343018E+04   -0.480024617910385132E+01    0.860240101814270020E+00   -0.144800186157226562E+00    0.269883632659912109E+00    0.617141187191009577E-01    0.231108367443084717E+02    0.150641471147537231E+02    0.695274338052505835-309   -0.599646350544151474E+01    1
   -0.493879413604736328E+01   -0.102390670776367188E+01    0.187792757153511047E+04   -0.491919207572937012E+01   -0.147851753234863281E+01   -0.121651148796081543E+01    0.665857613086700439E+00    0.147903901338577282E+00    0.108843147754669189E+02    0.546604394912719727E+01    0.695274338052505835-309   -0.599896350544151957E+01    1
   -0.356702518463134766E+01   -0.541834354400634766E+01    0.260718980431556702E+04   -0.440482324361801147E+01   -0.999471187591552734E+00   -0.691657543182373047E+00    0.383683377504348722E+00    0.685047745704650823E-01   -0.179490149021148682E+01   -0.609506070613861084E+01    0.695274338052505835-309   -0.600146350544151552E+01    1
   -0.726178693771362305E+01   -0.205206823348999023E+01    0.178960034251213074E+04   -0.445438671112060547E+01   -0.194046819210052490E+01   -0.172308754920959473E+01    0.285187941789627031E+00    0.144397771358489968E+00    0.115819364786148071E+02    0.778800249099731445E+00    0.695274338052505835-309   -0.600396350544151858E+01    1
   -0.671609163284301758E+01   -0.200908136367797852E+01    0.277812057733535767E+04   -0.373017913103103638E+01   -0.139023655652999878E+01    0.188205933570861816E+01    0.918101829290389970E+00    0.110995364189147946E+00   -0.132129013538360596E+02   -0.149446576833724976E+02    0.695274338052505835-309   -0.600646350544151630E+01    1
   -0.478517293930053711E+01   -0.459308528900146484E+01    0.162234970927238464E+04   -0.479990571737289429E+01    0.181562829017639160E+01   -0.695939302444458008E+00    0.741691762208938621E+00    0.362798410654067927E+00    0.237835168838500977E+02   -0.129079878330230713E+02    0.695274338052505835-309   -0.600896350544152469E+01    1
   -0.622032308578491211E+01   -0.811602783203125000E+01    0.259699860215187073E+04   -0.452488148212432861E+01   -0.311451852321624756E+00   -0.214733123779296875E+00    0.911837530136108354E+00    0.503270149230957073E-01    0.191801816225051880E+02    0.213867634534835815E+02    0.695274338052505835-309   -0.601146350544151886E+01    1
   -0.232328844070434570E+01   -0.652791404724121094E+01    0.341019549965858459E+04   -0.420517623424530029E+01    0.144618141651153564E+01    0.140183019638061523E+01    0.671015447378158547E+00    0.103778290748596180E+00   -0.186408460140228271E+02   -0.583719909191131592E+01    0.695274338052505835-309   -0.601396350544150859E+01    1
   -0.790723943710327148E+01   -0.445040750503540039E+01    0.390431234240531921E+04    0.193261653184890747E+01   -0.315004277229309082E+01   -0.174425387382507324E+01    0.345658504962921109E+00    0.135895222425460815E+00    0.149244070053100586E+02    0.340564548969268799E+01    0.695274338052505835-309   -0.601646350544151520E+01    1
