   -0.407247114181518555E+01   -0.410985136032104492E+01    0.319033721089363098E+04   -0.348549228906631470E+01   -0.736906528472900391E-01   -0.462254285812377930E+00    0.399012148380279486E+00    0.102969926595687863E+00    0.988325476646423340E+00   -0.245472252368927002E+02    0.973075091838836670E+01    0.695317693918839379-309   -0.599146350544150419E+01    1
   -0.692103815078735352E+01   -0.758126878738403320E+01    0.336613112688064575E+04   -0.303869092464447021E+01    0.889176428318023682E+00    0.345470190048217773E+00    0.423862332105636563E+00    0.790111482143402155E-01   -0.182817786931991577E+02   -0.780971050262451172E+01    0.526767075061798096E+01    0.695317693918839379-309   -0.599396350544151169E+01    1
   -0.301006555557250977E+01   -0.452956295013427734E+01    0.152302333712577820E+04   -0.316714262962341309E+01   -0.841829895973205566E+00   -0.974604129791259766E+00    0.799790126085281328E+00    0.141110724210739114E+00   -0.172315418720245361E+02   -0.794054865837097168E+01    0.952421247959136963E+01    0.695317693918839379-309   -0.599646350544151474E+01    1
   -0.555128479003906250E+01   -0.613355875015258789E+01    0.328222224116325378E+04   -0.397920769453048706E+01    0.261048316955566406E+00   -0.493007898330688477E+00    0.344487506151199274E+00    0.933012068271636963E-01    0.140657782554626465E+02   -0.859755873680114746E+01    0.622237205505371094E+01    0.695317693918839379-309   -0.599896350544151957E+01    1
   -0.692851066589355469E+01   -0.672792768478393555E+01    0.202581429481506348E+04   -0.490072035789489746E+01   -0.663756310939788818E+00   -0.142148637771606445E+01    0.486263281106948775E+00    0.220443224906921365E+00   -0.782746374607086182E+01   -0.132050991058349609E+02    0.147165596485137939E+01    0.695317693918839379-309   -0.600146350544151552E+01    1
   -0.110230112075805664E+01   -0.337786197662353516E+01    0.166074478626251221E+04    0.120007807016372681E+01   -0.376544946432113647E+01   -0.199937343597412109E+01    0.448455506563186612E+00    0.500240862369537367E-01   -0.209966361522674561E+02   -0.126162201166152954E+02    0.633262932300567627E+01    0.695317693918839379-309   -0.600396350544151858E+01    1
   -0.455653524398803711E+01   -0.436323595046997070E+01    0.312837788462638855E+04    0.180418568849563599E+01   -0.184576392173767090E+01   -0.186659479141235352E+01    0.465872323513030928E+00    0.108737695217132557E+00   -0.849488377571105957E+00   -0.179551243782043457E+02    0.591075837612152100E+01    0.695317693918839379-309   -0.600646350544151630E+01    1
   -0.541234922409057617E+01   -0.255831146240234375E+01    0.236183622479438782E+04   -0.377745699882507324E+01    0.827891647815704346E+00   -0.660644531250000000E+00    0.603191500902175881E+00    0.113627201318740836E+00   -0.113759160041809082E+02    0.707116425037384033E+01    0.837678313255310059E+01    0.695317693918839379-309   -0.600896350544152469E+01    1
   -0.877135562896728516E+01   -0.424709939956665039E+01    0.156130471825599670E+04   -0.300482791662216187E+01   -0.122985029220581055E+01    0.196556067466735840E+01    0.856796240806579568E+00    0.859039425849914551E-01   -0.249755382537841797E+01    0.102841496467590332E+02    0.689564764499664307E+01    0.695317693918839379-309   -0.601146350544151886E+01    1
   -0.717718791961669922E+01   -0.262742280960083008E+01    0.330699333548545837E+04   -0.495702087879180908E+01   -0.425079703330993652E+00    0.114414095878601074E+01    0.546155989170074505E-01    0.618463516235351618E-01   -0.210362523794174194E+02   -0.212840408086776733E+02    0.605628490447998047E+00    0.695317693918839379-309   -0.601396350544150859E+01    1
   -0.183573102951049805E+01   -0.584434318542480469E+01    0.245242545008659363E+04    0.184731167554855347E+01   -0.216422122716903687E+01    0.101249361038208008E+01    0.281735992431640603E+00    0.120817720890045166E+00   -0.657219886779785156E+01   -0.656115710735321045E+01    0.633308231830596924E+01    0.468153604013094828E+08   -0.601646350544151520E+01    1
   -0.155110025405883789E+01   -0.742407178878784180E+01    0.214599037170410156E+04   -0.157129293680191040E+01   -0.122188907861709595E+01    0.161381411552429199E+01    0.184012174606323242E+00    0.353875076770782448E+00   -0.207574725151062012E+02    0.151428878307342529E+01    0.732371926307678223E+01    0.468195871361314878E+08   -0.601896350544151559E+01    1
   -0.514341497421264648E+01   -0.676620912551879883E+01    0.194858872890472412E+04   -0.358355879783630371E+00   -0.162932622432708740E+01    0.451102495193481445E+00    0.443193548917770352E+00    0.788805782794952393E-01   -0.212568670511245728E+02    0.743656456470489502E+01    0.783679485321044922E+01    0.468211009709523544E+08   -0.602146350544152753E+01    1
   -0.108701896667480469E+01   -0.137651634216308594E+01    0.204264783859252930E+04   -0.602180302143096924E+00   -0.263189840316772461E+01    0.127602887153625488E+01    0.731305122375488226E-01    0.634096771478652954E+00    0.580392777919769287E+01   -0.181524902582168579E+02    0.494721472263336182E+01    0.468213978126852214E+08   -0.602396350544153325E+01    1
   -0.105652284622192383E+01   -0.677974462509155273E+01    0.278569364547729492E+04    0.171597439050674438E+01   -0.468983978033065796E+01    0.771352767944335938E+00    0.358585143089294400E+00    0.512841397523880027E+00    0.150544404983520508E+02   -0.139551728963851929E+02    0.953881740570068359E+00    0.468225395032529682E+08   -0.602646350544152298E+01    1
   -0.438478183746337891E+01   -0.513260316848754883E+01    0.349790909886360168E+04   -0.130214291810989380E+01    0.143113350868225098E+01    0.287096500396728516E+00    0.294215023517608643E+00    0.860353708267211914E-01    0.170727491378784180E+02   -0.174507081508636475E+02    0.876100718975067139E+01    0.468300691808402985E+08   -0.602896350544150561E+01    1
   -0.106583547592163086E+01   -0.485209131240844727E+01    0.201373973488807678E+04   -0.925651073455810547E+00   -0.442702627182006836E+01    0.930109739303588867E+00    0.138827896118164040E+00    0.132267588376998896E+00   -0.216245263814926147E+02    0.228171676397323608E+02    0.751074969768524170E+01    0.468301695718789920E+08   -0.603146350544150955E+01    1
